,Gene_ID,Total_Lists_Present_In,Categories,ANNOTATION_GENE,ANNOTATION_RXN,Repeat,MSU,MSU_1,TF,Enzymes,RXN,PATHWAY
11,LTR_Os_chr_10_1937#LTR,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
12,MERMITE#DNA,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
13,MERMITEH#DNA,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
14,ORSiTETNOOT00116#DNA,10,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
15,OSTE17#DNA,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
16,SINE03_OS#SINE,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
17,SZ-36_LTR#LTR,10,hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
18,TYPEU1#DNA,10,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
19,rn_216-127_retroryza#LTR,10,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
20,LTR_Os_chr_01_114#LTR,9,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
21,LTR_Os_chr_01_23#LTR/Copia,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
22,LTR_Os_chr_01_31#LTR,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
23,LTR_Os_chr_02_286#LTR,9,hypo - Azucena (CG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
24,LTR_Os_chr_04_718#LTR,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
25,LTR_Os_chr_06_1130#LTR,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
26,LTR_Os_chr_06_1138#LTR,9,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
27,LTR_Os_chr_06_1151#LTR,9,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
28,LTR_Os_chr_07_1360#LTR,9,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
29,ORSiTEMT05300003#DNA/Mite,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
30,OSTE30#DNA/hAT,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
31,SPMLIKE#DNA/En-Spm,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
32,TNR11#DNA/Mite,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
33,rn_313-186_retroryza#LTR,9,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
34,LTR_Os_chr_03_497#LTR,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
35,LTR_Os_chr_04_632#LTR,8,hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
36,LTR_Os_chr_05_970#LTR,8,hypo - Azucena (CG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
37,LTR_Os_chr_06_1078#LTR,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
38,LTR_Os_chr_07_1270#LTR,8,hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
39,LTR_Os_chr_09_1785#LTR,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
40,LTR_Os_chr_11_2033#LTR/Gypsy,8,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
41,LTR_Os_chr_11_2143#LTR,8,hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
42,MDR1#DNA/MuDR,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
43,ORSiTERTOOT00209,8,hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
44,OSLINE1-4#LINE,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
45,Osr31_AP003054-0#Other,8,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
46,SEVERIN-2#DNA,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
47,TYPEU2#DNA,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
48,XIKE#DNA/MuDR,8,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
49,rn_56-38_retroryza#LTR,8,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
50,CACTA-B#DNA/En-Spm,7,hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
51,CACTA-D#DNA/En-Spm,7,hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
52,CACTA-F#DNA/En-Spm,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
53,CLOUD#DNA/MuDR,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
54,CPR1__LiL#LTR/Copia,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
55,DS-RICE4N#DNA/hAT,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
56,ENSPM4_OS#DNA/En-Spm,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
57,ENSPM_OS#DNA/En-Spm,7,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
58,LTR_Os_chr_01_116#LTR/Gypsy,7,hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
59,LTR_Os_chr_01_34#LTR,7,hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
60,LTR_Os_chr_02_306#LTR,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
61,LTR_Os_chr_03_500#LTR/Gypsy,7,hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
62,LTR_Os_chr_04_727#LTR,7,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
63,LTR_Os_chr_05_975#LTR,7,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
64,LTR_Os_chr_07_1279#LTR,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
65,LTR_Os_chr_08_1493#LTR/Copia,7,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
66,LTR_Os_chr_08_1624#LTR/Gypsy,7,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
67,LTR_Os_chr_09_1801#LTR,7,hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
68,LTR_Os_chr_11_1996#LTR,7,hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hyper - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
69,LTR_Os_chr_12_2328#LTR,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hyper - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
70,MUDR1_OS#DNA/MuDR,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
71,MUDRN1_OS#DNA/MuDR,7,hyper - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats,,,1,,,,,,
72,ORSgOTOT00000707,7,hyper - Azucena (CG context) - repeats | hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
73,ORSgTETN00200001,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hyper - Azucena (CHH context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
74,ORSiTEMT05300001#DNA/Mite,7,hypo - Azucena (CG context) - repeats | hypo - Azucena (CHG context) - repeats | hypo - Azucena (CHH context) - repeats | hypo - BGI (CG context) - repeats | hypo - BGI (CHG context) - repeats | hypo - BGI (CHH context) - repeats | hyper - BGI (CHH context) - repeats,,,1,,,,,,
